github.com/BurntSushi/toml,https://github.com/BurntSushi/toml/blob/v1.4.0/COPYING,MIT
github.com/Wing924/ltsv,https://github.com/Wing924/ltsv/blob/v0.4.0/LICENSE,Apache-2.0
github.com/antlr4-go/antlr/v4,https://github.com/antlr4-go/antlr/blob/v4.13.1/LICENSE,BSD-3-Clause
github.com/awalterschulze/gographviz,https://github.com/awalterschulze/gographviz/blob/v2.0.3/LICENSE,BSD-3-Clause
github.com/cockroachdb/errors,https://github.com/cockroachdb/errors/blob/v1.11.3/LICENSE,Apache-2.0
github.com/cockroachdb/logtags,https://github.com/cockroachdb/logtags/blob/21c54148d20b/LICENSE,Apache-2.0
github.com/cockroachdb/redact,https://github.com/cockroachdb/redact/blob/v1.1.5/LICENSE,Apache-2.0
github.com/dustin/go-humanize,https://github.com/dustin/go-humanize/blob/v1.0.1/LICENSE,MIT
github.com/fatih/color,https://github.com/fatih/color/blob/v1.17.0/LICENSE.md,MIT
github.com/fsnotify/fsnotify,https://github.com/fsnotify/fsnotify/blob/v1.7.0/LICENSE,BSD-3-Clause
github.com/getsentry/sentry-go,https://github.com/getsentry/sentry-go/blob/v0.29.1/LICENSE,MIT
github.com/gogo/protobuf,https://github.com/gogo/protobuf/blob/v1.3.2/LICENSE,BSD-3-Clause
github.com/google/cel-go,https://github.com/google/cel-go/blob/v0.21.0/LICENSE,Apache-2.0
github.com/haijima/analysisutil,Unknown,Unknown
github.com/haijima/analysisutil/ssautil,Unknown,Unknown
github.com/haijima/cobrax,https://github.com/haijima/cobrax/blob/v0.6.1/LICENSE,MIT
github.com/haijima/epf,Unknown,Unknown
github.com/haijima/gini,https://github.com/haijima/gini/blob/v0.0.2/LICENSE,MIT
github.com/haijima/stool,https://github.com/haijima/stool/blob/HEAD/LICENSE,MIT
github.com/hashicorp/hcl,https://github.com/hashicorp/hcl/blob/v1.0.0/LICENSE,MPL-2.0
github.com/jedib0t/go-pretty/v6,https://github.com/jedib0t/go-pretty/blob/v6.6.0/LICENSE,MIT
github.com/kr/pretty,https://github.com/kr/pretty/blob/v0.3.1/License,MIT
github.com/kr/text,https://github.com/kr/text/blob/v0.2.0/License,MIT
github.com/lucasb-eyer/go-colorful,https://github.com/lucasb-eyer/go-colorful/blob/v1.2.0/LICENSE,MIT
github.com/magiconair/properties,https://github.com/magiconair/properties/blob/v1.8.7/LICENSE.md,BSD-2-Clause
github.com/mattn/go-colorable,https://github.com/mattn/go-colorable/blob/v0.1.13/LICENSE,MIT
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty/blob/v0.0.20/LICENSE,MIT
github.com/mattn/go-runewidth,https://github.com/mattn/go-runewidth/blob/v0.0.16/LICENSE,MIT
github.com/mitchellh/mapstructure,https://github.com/mitchellh/mapstructure/blob/v1.5.0/LICENSE,MIT
github.com/pelletier/go-toml/v2,https://github.com/pelletier/go-toml/blob/v2.2.3/LICENSE,MIT
github.com/pkg/errors,https://github.com/pkg/errors/blob/v0.9.1/LICENSE,BSD-2-Clause
github.com/rivo/uniseg,https://github.com/rivo/uniseg/blob/v0.4.7/LICENSE.txt,MIT
github.com/rogpeppe/go-internal/fmtsort,https://github.com/rogpeppe/go-internal/blob/v1.13.1/LICENSE,BSD-3-Clause
github.com/sagikazarmark/slog-shim,https://github.com/sagikazarmark/slog-shim/blob/v0.1.0/LICENSE,BSD-3-Clause
github.com/spf13/afero,https://github.com/spf13/afero/blob/v1.11.0/LICENSE.txt,Apache-2.0
github.com/spf13/cast,https://github.com/spf13/cast/blob/v1.7.0/LICENSE,MIT
github.com/spf13/cobra,https://github.com/spf13/cobra/blob/v1.8.1/LICENSE.txt,Apache-2.0
github.com/spf13/pflag,https://github.com/spf13/pflag/blob/v1.0.5/LICENSE,BSD-3-Clause
github.com/spf13/viper,https://github.com/spf13/viper/blob/v1.19.0/LICENSE,MIT
github.com/stoewer/go-strcase,https://github.com/stoewer/go-strcase/blob/v1.3.0/LICENSE,MIT
github.com/subosito/gotenv,https://github.com/subosito/gotenv/blob/v1.6.0/LICENSE,MIT
golang.org/x/exp,https://cs.opensource.google/go/x/exp/+/f66d83c2:LICENSE,BSD-3-Clause
golang.org/x/mod/semver,https://cs.opensource.google/go/x/mod/+/v0.21.0:LICENSE,BSD-3-Clause
golang.org/x/sync/errgroup,https://cs.opensource.google/go/x/sync/+/v0.8.0:LICENSE,BSD-3-Clause
golang.org/x/sys,https://cs.opensource.google/go/x/sys/+/v0.26.0:LICENSE,BSD-3-Clause
golang.org/x/term,https://cs.opensource.google/go/x/term/+/v0.25.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.19.0:LICENSE,BSD-3-Clause
golang.org/x/tools,https://cs.opensource.google/go/x/tools/+/v0.26.0:LICENSE,BSD-3-Clause
google.golang.org/genproto/googleapis/api/expr/v1alpha1,https://github.com/googleapis/go-genproto/blob/796eee8c2d53/googleapis/api/LICENSE,Apache-2.0
google.golang.org/genproto/googleapis/rpc/status,https://github.com/googleapis/go-genproto/blob/796eee8c2d53/googleapis/rpc/LICENSE,Apache-2.0
google.golang.org/protobuf,https://github.com/protocolbuffers/protobuf-go/blob/v1.35.1/LICENSE,BSD-3-Clause
gopkg.in/ini.v1,https://github.com/go-ini/ini/blob/v1.67.0/LICENSE,Apache-2.0
gopkg.in/yaml.v3,https://github.com/go-yaml/yaml/blob/v3.0.1/LICENSE,MIT
